gene,snp
RNU6-396P,.
OLIG1,.
DSTNP1,.
RPL23AP4,.
C21orf54,.
IFNAR2,.
AP000295.9,.
IL10RB,.
IFNAR1,.
IFNGR2,.
TMEM50B,.
DNAJC28,.
GART,.
SON,.
DONSON,.
AP000304.1,.
AP000304.12,.
CRYZL1,.
ITSN1,.
ATP5O,.
MRPS6,.
SLC5A3,.
KCNE2,.
SMIM11,.
C21orf140,.
AP000322.53,.
KCNE1,.
RCAN1,.
CLIC6,.
RUNX1,.
FKSG68,.
AP000688.1,.
SETD4,.
CBR1,.
CBR3,.
DOPEY2,.
MORC3,.
CHAF1B,.
CLDN14,.
AP000695.1,.
SIM2,.
HLCS,.
RIPPLY3,.
PIGP,.
TTC3,.
DSCR3,.
DYRK1A,.
AP001421.1,.
KCNJ6,.
DSCR4,.
DSCR8,.
KCNJ15,.
ERG,.
ETS2,.
PSMG1,.
BRWD1,.
HMGN1,.
WRB,.
LCA5L,.
SH3BGR,.
B3GALT5,.
C21orf88,.
IGSF5,.
PCP4,.
DSCAM,.
BACE2,.
FAM3B,.
MX2,.
MX1,.
TMPRSS2,.
RIPK4,.
PRDM15,.
C2CD2,.
ZBTB21,.
UMODL1,.
C21orf128,.
ABCG1,.
TFF3,.
TFF2,.
TFF1,.
TMPRSS3,.
UBASH3A,.
RSPH1,.
SLC37A1,.
PDE9A,.
WDR4,.
NDUFV3,.
PKNOX1,.
CBS,.
U2AF1,.
AP001631.10,.
CRYAA,.
SIK1,.
HSF2BP,.
RRP1B,.
PDXK,.
CSTB,.
RRP1,.
AGPAT3,.
TRAPPC10,.
PWP2,.
C21orf33,.
AP001055.1,.
ICOSLG,.
DNMT3L,.
AIRE,.
PFKL,.
C21orf2,.
TRPM2,.
LRRC3,.
LRRC3DN,.
TSPEAR,.
C21orf90,.
KRTAP10-1,.
KRTAP10-2,.
KRTAP10-3,.
KRTAP10-4,.
KRTAP10-5,.
KRTAP10-6,.
KRTAP10-7,.
KRTAP10-8,.
KRTAP10-9,.
KRTAP10-10,.
KRTAP10-11,.
KRTAP12-4,.
KRTAP12-3,.
KRTAP12-2,.
KRTAP12-1,.
KRTAP10-12,.
UBE2G2,.
SUMO3,.
PTTG1IP,.
ITGB2,.
C21orf67,.
FAM207A,.
AP001579.1,.
ADARB1,.
PRED57,.
PRED58,.
POFUT2,.
COL18A1,.
SLC19A1,.
PCBP3,.
PRED60,.
PRED62,.
COL6A1,.
COL6A2,.
FTCD,.
SPATC1L,.
LSS,.
AP001468.1,.
MCM3AP,.
YBEY,.
C21orf58,.
PCNT,.
DIP2A,.
S100B,.
PRMT2,.
CR381670.1,.
MIR3648,.
MIR3687,.
TEKT4P2,.
CR392039.2,.
CR392039.1,.
CR381653.1,.
RN7SL52P,.
bP-21201H5.1,.
AF254982.2,.
SLC25A15P4,.
CYCSP41,.
BAGE2,.
VN1R7P,.
AP003900.6,.
EIF3FP1,.
AP001464.4,.
ANKRD30BP2,.
RNU6-614P,.
ZNF355P,.
AJ239321.3,.
FGF7P2,.
ANKRD30BP1,.
MIR3156-3,.
GTF2IP2,.
VN1R8P,.
SNX19P1,.
OR4K11P,.
AP001465.5,.
OR4K12P,.
RNU6-286P,.
MIR3118-5,.
GRAMD4P1,.
CXADRP1,.
FEM1AP1,.
AL050303.7,.
TERF1P1,.
FAM207CP,.
GXYLT1P2,.
CNN2P7,.
ZNF114P1,.
CYP4F29P,.
SNX18P13,.
ANKRD20A11P,.
RHOT1P2,.
RNU6-954P,.
AP001634.1,.
NF1P3,.
PPP6R2P1,.
AP001347.6,.
ANKRD20A18P,.
RNA5SP488,.
ERLEC1P1,.
ABCC13,.
SAMSN1-AS1,.
AF127936.3,.
POLR2CP,.
AF127936.5,.
GAPDHP16,.
AF127936.7,.
RBMX2P1,.
AF127577.8,.
AF127577.10,.
AF127577.11,.
AF127577.12,.
AJ006998.2,.
CYCSP42,.
AJ009632.3,.
RNU6-1326P,.
AL034449.1,.
RAD23BLP,.
RBPMSLP,.
RNU6-426P,.
LINC00478,.
VDAC2P1,.
RPS26P5,.
AP001172.2,.
AP001172.3,.
MIR99A,.
MIRLET7C,.
AP000962.2,.
MIR125B2,.
AP000473.5,.
AP000473.8,.
RNU1-98P,.
AP000473.6,.
AF212831.2,.
NEK4P1,.
RNU6-113P,.
RNU7-168P,.
RPL39P40,.
RN7SL163P,.
BTF3L4P1,.
AP000432.2,.
C21orf91-OT1,.
AL109761.5,.
CHODL-AS1,.
AP000745.1,.
RPL37P3,.
AP000998.2,.
AL109763.1,.
AL109763.2,.
TUBA3C,rs1000237
RP11-408E5.4,rs1000237
LINC00418,rs1000237
GXYLT1P1,rs1000237
CYP4F34P,rs1000237
SNX18P26,rs1000237
LINC00328-2P,rs1000237
ANKRD20A9P,rs1000237
RHOT1P3,rs1000237
RP11-38M15.11,rs1000237
RNU6-55P,rs1000237
RNU6-76P,rs1000237
SNX19P2,rs1000237
LINC00408,rs1000237
RP11-442J17.3,rs1000237
PHF2P2,rs1000237
LINC00442,rs1000237
USP24P1,rs1000237
GTF2IP3,rs1000237
RP11-301J16.7,rs1000237
RNA5SP24,rs1000237
CENPIP1,rs1000237
RNU6-52P,rs1000237
RP11-408E5.6,rs1000237
SMPD4P2,rs1000237
PSPC1P1,rs1000237
RP11-408E5.5,rs1000237
LINC01074,rs1002687
LINC00459,rs1002687
RPL32P28,rs1002687
SQSTM1P1,rs1002687
LINC00448,rs1002687
AC139085.2,rs10036682
RNU6-346P,rs10036682
RPL26P35,rs10036682
RP11-162A12.3,rs10036682
RP11-862L9.3,rs10036682
RP11-751H17.1,rs10036682
RP11-176N18.2,rs10036682
RP11-162A12.2,rs10036682
ZNF236,rs10036682
MBP,rs10036682
GALR1,rs10036682
AL138751.1,rs10038723
HSPB1P1,rs10038723
BTF3P4,rs10038723
RP11-63P12.7,rs10038723
RP11-63P12.2,rs10038723
RNA5SP285,rs10038723
RP11-63P12.6,rs10038723
RP11-217F16.1,rs10038723
RP11-313E4.1,rs10038723
ABHD17B,rs10038723
C9orf85,rs10038723
C9orf57,rs10038723
GDA,rs10038723
ZFAND5,rs10038723
TMC1,rs10038723
AL138751.1,rs10038945
HSPB1P1,rs10038945
BTF3P4,rs10038945
RP11-63P12.7,rs10038945
RP11-63P12.2,rs10038945
RNA5SP285,rs10038945
RP11-63P12.6,rs10038945
RP11-217F16.1,rs10038945
RP11-313E4.1,rs10038945
ABHD17B,rs10038945
C9orf85,rs10038945
C9orf57,rs10038945
GDA,rs10038945
ZFAND5,rs10038945
TMC1,rs10038945
SMARCE1P5,rs1004165
LINC00407,rs1004165
TSC22D1,rs1004165
RPL35AP21,rs10043960
TMEM2,rs10043960
RPL35AP21,rs10045282
TMEM2,rs10045282
LINC00402,rs10045497
RNY1P5,rs10045497
RPL21P108,rs10045497
LINC00381,rs10045497
LINC00347,rs10045497
KLF12,rs10045497
AL355390.1,rs10045497
DNM1P33,rs10054860
RN7SL429P,rs10054860
RP11-247C2.1,rs10054860
RP11-665J16.1,rs10054860
RP11-60L3.1,rs10054860
RP11-60L3.2,rs10054860
CTD-2311M21.2,rs10054860
CTD-2311M21.3,rs10054860
STOML1,rs10054860
PML,rs10054860
GOLGA6A,rs10054860
ISLR2,rs10054860
RP11-247C2.2,rs10054860
ISLR,rs10054860
STRA6,rs10054860
CCDC33,rs10054860
AL138751.1,rs10055011
HSPB1P1,rs10055011
BTF3P4,rs10055011
RP11-63P12.7,rs10055011
RP11-63P12.2,rs10055011
RNA5SP285,rs10055011
RP11-63P12.6,rs10055011
RP11-217F16.1,rs10055011
RP11-313E4.1,rs10055011
ABHD17B,rs10055011
C9orf85,rs10055011
C9orf57,rs10055011
GDA,rs10055011
ZFAND5,rs10055011
TMC1,rs10055011
RP11-665J16.1,rs10056022
RP11-60L3.2,rs10056022
CTD-2311M21.2,rs10056022
CTD-2311M21.3,rs10056022
UBL7-AS1,rs10056022
RP11-10O17.1,rs10056022
RP11-10O17.3,rs10056022
CTD-3154N5.1,rs10056022
RP11-414J4.2,rs10056022
STRA6,rs10056022
CCDC33,rs10056022
CYP11A1,rs10056022
SEMA7A,rs10056022
UBL7,rs10056022
ARID3B,rs10056022
CLK3,rs10056022
EDC3,rs10056022
CYP1A1,rs10056022
CYP1A2,rs10056022
CSK,rs10056022
LMAN1L,rs10056022
CPLX3,rs10056022
AL138751.1,rs10056811
HSPB1P1,rs10056811
BTF3P4,rs10056811
RP11-63P12.7,rs10056811
RP11-63P12.2,rs10056811
RNA5SP285,rs10056811
RP11-63P12.6,rs10056811
RP11-217F16.1,rs10056811
RP11-313E4.1,rs10056811
ABHD17B,rs10056811
C9orf85,rs10056811
C9orf57,rs10056811
GDA,rs10056811
ZFAND5,rs10056811
TMC1,rs10056811
LINC00402,rs10057967
RNY1P5,rs10057967
RPL21P108,rs10057967
LINC00381,rs10057967
LINC00347,rs10057967
KLF12,rs10057967
AL355390.1,rs10057967
AC139085.2,rs10059022
RNU6-346P,rs10059022
RPL26P35,rs10059022
RP11-162A12.3,rs10059022
RP11-862L9.3,rs10059022
RP11-751H17.1,rs10059022
RP11-176N18.2,rs10059022
RP11-162A12.2,rs10059022
ZNF236,rs10059022
MBP,rs10059022
GALR1,rs10059022
AC139085.2,rs10061689
RNU6-346P,rs10061689
RPL26P35,rs10061689
RP11-162A12.3,rs10061689
RP11-862L9.3,rs10061689
RP11-751H17.1,rs10061689
RP11-176N18.2,rs10061689
RP11-162A12.2,rs10061689
ZNF236,rs10061689
MBP,rs10061689
GALR1,rs10061689
DNM1P33,rs10064936
RN7SL429P,rs10064936
RP11-247C2.1,rs10064936
RP11-665J16.1,rs10064936
RP11-60L3.1,rs10064936
RP11-60L3.2,rs10064936
CTD-2311M21.2,rs10064936
CTD-2311M21.3,rs10064936
STOML1,rs10064936
PML,rs10064936
GOLGA6A,rs10064936
ISLR2,rs10064936
RP11-247C2.2,rs10064936
ISLR,rs10064936
STRA6,rs10064936
CCDC33,rs10064936
DNM1P33,rs10066707
RN7SL429P,rs10066707
RP11-247C2.1,rs10066707
RP11-665J16.1,rs10066707
RP11-60L3.1,rs10066707
RP11-60L3.2,rs10066707
CTD-2311M21.2,rs10066707
CTD-2311M21.3,rs10066707
STOML1,rs10066707
PML,rs10066707
GOLGA6A,rs10066707
ISLR2,rs10066707
RP11-247C2.2,rs10066707
ISLR,rs10066707
STRA6,rs10066707
CCDC33,rs10066707
RP11-665J16.1,rs10067900
RP11-60L3.2,rs10067900
CTD-2311M21.2,rs10067900
CTD-2311M21.3,rs10067900
UBL7-AS1,rs10067900
RP11-10O17.1,rs10067900
RP11-10O17.3,rs10067900
CTD-3154N5.1,rs10067900
RP11-414J4.2,rs10067900
STRA6,rs10067900
CCDC33,rs10067900
CYP11A1,rs10067900
SEMA7A,rs10067900
UBL7,rs10067900
ARID3B,rs10067900
CLK3,rs10067900
EDC3,rs10067900
CYP1A1,rs10067900
CYP1A2,rs10067900
CSK,rs10067900
LMAN1L,rs10067900
CPLX3,rs10067900
RP11-625H11.1,rs1007205
RP11-625H11.2,rs1007205
AC103740.1,rs1007205
MIR190A,rs1007205
RP11-1069G10.1,rs1007205
RP11-1069G10.2,rs1007205
RP11-244F12.1,rs1007205
TLN2,rs1007205
AL138751.1,rs10074747
HSPB1P1,rs10074747
BTF3P4,rs10074747
RP11-63P12.7,rs10074747
RP11-63P12.2,rs10074747
RNA5SP285,rs10074747
RP11-63P12.6,rs10074747
RP11-217F16.1,rs10074747
RP11-313E4.1,rs10074747
ABHD17B,rs10074747
C9orf85,rs10074747
C9orf57,rs10074747
GDA,rs10074747
ZFAND5,rs10074747
TMC1,rs10074747
RP11-665J16.1,rs10075139
RP11-60L3.2,rs10075139
CTD-2311M21.2,rs10075139
CTD-2311M21.3,rs10075139
UBL7-AS1,rs10075139
RP11-10O17.1,rs10075139
RP11-10O17.3,rs10075139
CTD-3154N5.1,rs10075139
RP11-414J4.2,rs10075139
STRA6,rs10075139
CCDC33,rs10075139
CYP11A1,rs10075139
SEMA7A,rs10075139
UBL7,rs10075139
ARID3B,rs10075139
CLK3,rs10075139
EDC3,rs10075139
CYP1A1,rs10075139
CYP1A2,rs10075139
CSK,rs10075139
LMAN1L,rs10075139
CPLX3,rs10075139
LINC00402,rs10075465
RNY1P5,rs10075465
RPL21P108,rs10075465
LINC00381,rs10075465
LINC00347,rs10075465
KLF12,rs10075465
AL355390.1,rs10075465
AC139085.2,rs10077427
RNU6-346P,rs10077427
RPL26P35,rs10077427
RP11-162A12.3,rs10077427
RP11-862L9.3,rs10077427
RP11-751H17.1,rs10077427
RP11-176N18.2,rs10077427
RP11-162A12.2,rs10077427
ZNF236,rs10077427
MBP,rs10077427
GALR1,rs10077427
SNORA81,rs1009136
ABHD3,rs1009136
MIB1,rs1009136
RP11-595B24.2,rs1009136
GATA6,rs1009136
AC091038.1,rs1009136
RN7SL233P,rs1009136
MIR1-2,rs1009136
RP11-268I9.1,rs1009136
RP11-268I9.3,rs1009136
RNU6-1038P,rs1009136
RP11-268I9.4,rs1009136
RNA5SP451,rs1009136
RP11-595B24.1,rs1009136
AC091043.1,rs1009136
RNU6ATAC20P,rs1009136
GATA6-AS1,rs1009136
RP11-627G18.2,rs1009136
RNU6-702P,rs1009136
RP11-627G18.1,rs1009136
RP11-627G18.4,rs1009136
SNORA81,rs1010207
ABHD3,rs1010207
MIB1,rs1010207
RP11-595B24.2,rs1010207
GATA6,rs1010207
AC091038.1,rs1010207
RN7SL233P,rs1010207
MIR1-2,rs1010207
RP11-268I9.1,rs1010207
RP11-268I9.3,rs1010207
RNU6-1038P,rs1010207
RP11-268I9.4,rs1010207
RNA5SP451,rs1010207
RP11-595B24.1,rs1010207
AC091043.1,rs1010207
RNU6ATAC20P,rs1010207
GATA6-AS1,rs1010207
RP11-627G18.2,rs1010207
RNU6-702P,rs1010207
RP11-627G18.1,rs1010207
RP11-627G18.4,rs1010207
AL512655.1,rs10104997
NDUFV2,rs10106829
ANKRD12,rs10106829
TWSG1,rs10106829
RP11-21J18.1,rs10106829
RP11-143J12.3,rs10106829
RP11-143J12.2,rs10106829
RP11-888D10.4,rs10106829
MYO16-AS2,rs10127790
MYO16-AS1,rs10127790
LINC00370,rs10127790
LINC01067,rs10127790
LINC00399,rs10127790
MYO16,rs10127790
LINC01074,rs10157265
LINC00459,rs10157265
RPL32P28,rs10157265
SQSTM1P1,rs10157265
LINC00448,rs10157265
LINC01074,rs10158897
LINC00459,rs10158897
RPL32P28,rs10158897
SQSTM1P1,rs10158897
LINC00448,rs10158897
AC007948.1,rs10159255
RP11-453M23.1,rs10159255
RP11-775G23.1,rs10159255
TMEM241,rs10164442
RIOK3,rs10164442
C18orf8,rs10164442
NPC1,rs10164442
ANKRD29,rs10164442
LAMA3,rs10164442
RPS10P27,rs10164442
RPL23AP77,rs10164442
IFNA21,rs10169543
IFNA4,rs10169543
IFNA7,rs10169543
IFNA10,rs10169543
IFNA16,rs10169543
IFNA17,rs10169543
IFNA14,rs10169543
IFNA5,rs10169543
KLHL9,rs10169543
IFNA6,rs10169543
IFNA13,rs10169543
IFNA2,rs10169543
IFNA8,rs10169543
IFNA1,rs10169543
IFNE,rs10169543
IFNWP15,rs10169543
IFNWP9,rs10169543
IFNWP18,rs10169543
IFNWP5,rs10169543
IFNA22P,rs10169543
IFNA20P,rs10169543
RP11-354P17.15,rs10169543
IFNA11P,rs10169543
IFNA12P,rs10169543
IFNWP2,rs10169543
IFNWP19,rs10169543
MIR31HG,rs10169543
TMEM241,rs10172650
RIOK3,rs10172650
C18orf8,rs10172650
NPC1,rs10172650
ANKRD29,rs10172650
LAMA3,rs10172650
RPS10P27,rs10172650
RPL23AP77,rs10172650
TMEM241,rs10178381
RIOK3,rs10178381
C18orf8,rs10178381
NPC1,rs10178381
POTEB2,rs10180633
IGHD5OR15-5B,rs10180633
IGHD4OR15-4B,rs10180633
IGHD3OR15-3B,rs10180633
IGHD2OR15-2B,rs10180633
IGHD1OR15-1B,rs10180633
RP11-810K23.7,rs10180633
RNU6-749P,rs10180633
RP11-810K23.9,rs10180633
RP11-810K23.10,rs10180633
RP11-810K23.5,rs10180633
NF1P1,rs10180633
MIR5701-1,rs10180633
CT60,rs10180633
OR11J2P,rs10180633
OR11J5P,rs10180633
KIAA0125P2,rs10180633
RP11-810K23.6,rs10180633
RP11-854K16.2,rs10180633
BMS1P16,rs10180633
AC139085.2,rs1018119
RNU6-346P,rs1018119
RPL26P35,rs1018119
RP11-162A12.3,rs1018119
RP11-862L9.3,rs1018119
RP11-751H17.1,rs1018119
RP11-176N18.2,rs1018119
RP11-162A12.2,rs1018119
ZNF236,rs1018119
MBP,rs1018119
GALR1,rs1018119
IFNA6,rs10183198
IFNA13,rs10183198
IFNA2,rs10183198
IFNA1,rs10183198
IFNE,rs10183198
RP11-354P17.15,rs10183198
IFNA11P,rs10183198
IFNWP2,rs10183198
IFNWP19,rs10183198
MIR31HG,rs10183198
MIR31,rs10183198
POTEB2,rs10183548
IGHD5OR15-5B,rs10183548
IGHD4OR15-4B,rs10183548
IGHD3OR15-3B,rs10183548
IGHD2OR15-2B,rs10183548
IGHD1OR15-1B,rs10183548
RP11-810K23.7,rs10183548
RNU6-749P,rs10183548
RP11-810K23.9,rs10183548
RP11-810K23.10,rs10183548
RP11-810K23.5,rs10183548
NF1P1,rs10183548
MIR5701-1,rs10183548
CT60,rs10183548
OR11J2P,rs10183548
OR11J5P,rs10183548
KIAA0125P2,rs10183548
RP11-810K23.6,rs10183548
RP11-854K16.2,rs10183548
BMS1P16,rs10183548
AL590812.1,rs1018389
AL590812.3,rs1018389
ATP5A1P9,rs1018389
RN7SL462P,rs1018389
BX088645.3,rs1018389
RP11-133G22.1,rs1018389
BX088645.2,rs1018389
BX664726.3,rs1018389
FAM74A1,rs1018389
RP11-95H8.5,rs1018389
SPATA31A2,rs1018389
AL353791.1,rs1018389
TMEM241,rs10184054
RIOK3,rs10184054
C18orf8,rs10184054
NPC1,rs10184054
ANKRD29,rs10184054
LAMA3,rs10184054
RPS10P27,rs10184054
RPL23AP77,rs10184054
SNORD39,rs10185261
IFNA13,rs10185261
IFNA2,rs10185261
IFNA1,rs10185261
IFNE,rs10185261
RP11-354P17.15,rs10185261
IFNA11P,rs10185261
IFNWP19,rs10185261
MIR31HG,rs10185261
MIR31,rs10185261
RP11-344A7.1,rs10185261
TMEM241,rs10188503
RIOK3,rs10188503
C18orf8,rs10188503
NPC1,rs10188503
ANKRD29,rs10188503
LAMA3,rs10188503
RPS10P27,rs10188503
RPL23AP77,rs10188503
TMEM241,rs10188514
RIOK3,rs10188514
C18orf8,rs10188514
NPC1,rs10188514
ANKRD29,rs10188514
LAMA3,rs10188514
RPS10P27,rs10188514
RPL23AP77,rs10188514
TMEM241,rs10198175
RIOK3,rs10198175
C18orf8,rs10198175
NPC1,rs10198175
ANKRD29,rs10198175
LAMA3,rs10198175
RPS10P27,rs10198175
RPL23AP77,rs10198175
LAMA3,rs10199484
TTC39C,rs10199484
AC010754.1,rs10199484
RP11-403A21.1,rs10199484
RP11-403A21.2,rs10199484
POTEB2,rs10199768
IGHD5OR15-5B,rs10199768
IGHD4OR15-4B,rs10199768
IGHD3OR15-3B,rs10199768
IGHD2OR15-2B,rs10199768
IGHD1OR15-1B,rs10199768
RP11-810K23.7,rs10199768
RNU6-749P,rs10199768
RP11-810K23.9,rs10199768
