gene,strand,chr,gStart,gEnd
ACTBL2,-,chr5,56775846,56778636
ACTBP1,-,chrX,46147451,46148563
ACTBP11,-,chr1,224051428,224052553
ACTBP12,-,chr1,92694138,92694992
ACTBP13,-,chr3,49910780,49915413
ACTBP14,+,chr10,70782534,70783622
ACTBP2,+,chr5,77080705,77081827
ACTBP6,+,chr8,85860820,85861909
ACTBP7,-,chr15,44281259,44282382
ACTBP8,-,chr6,88985601,88986708
ACTBP9,+,chr18,60109261,60110359
ACTC1,-,chr15,35080297,35088340
ACTG1,-,chr17,79476997,79490873
ACTG1P1,+,chr3,139212651,139213779
ACTG1P10,-,chrX,53172014,53173095
ACTG1P11,+,chrY,20309770,20310894
ACTG1P12,+,chr3,12111695,12112860
ACTG1P13,-,chr3,98934068,98935110
ACTG1P2,-,chrY,19868881,19870005
ACTG1P3,+,chr20,1141228,1142341
ACTG1P4,+,chr1,104112175,104113296
ACTG1P9,+,chr6,46172466,46175123
ACTG2,+,chr2,74119441,74146992
ACTL10,+,chr20,32254304,32256331
ACTL6A,+,chr3,179280668,179306196
ACTL6B,-,chr7,100240720,100254084
ACTL7A,+,chr9,111624603,111626035
ACTL7B,-,chr9,111616871,111619239
ACTL8,+,chr1,18081808,18153558
ACTL9,-,chr19,8807751,8809172
ACTN1,-,chr14,69340860,69446157
ACTN1-AS1,+,chr14,69446399,69454180
ACTN2,+,chr1,236849754,236927931
ACTN3,+,chr11,66313866,66330800
ACTN4,+,chr19,39138289,39222223
ACTN4P1,+,chr4,117519317,117520767
ACTN4P2,+,chr1,38242342,38245090
ACTR10,+,chr14,58666798,58701750
ACTR1A,-,chr10,104238986,104262482
ACTR1B,-,chr2,98272431,98280570
ACTR2,+,chr2,65454887,65498387
ACTR3,+,chr2,114647537,114720173
ACTR3B,+,chr7,152456834,152552463
ACTR3BP2,+,chr2,92128694,92130496
ACTR3BP3,-,chr16,32390392,32391370
ACTR3BP4,+,chr4,103883113,103884484
ACTR3BP5,+,chr10,38989555,38991356
ACTR3BP6,+,chr22,16967410,16969212
ACTR3C,-,chr7,149941005,150020814
ACTR3P2,+,chrX,67991165,67992421
ACTR3P3,+,chr3,100881938,100882830
ACTR5,+,chr20,37377085,37400834
ACTR6,+,chr12,100592900,100635643
ACTR6P1,-,chr4,107757655,107758758
ACTR8,-,chr3,53901093,53916229
ACTRT1,-,chrX,127184943,127186382
ACTRT2,+,chr1,2938046,2939465
ACTRT3,-,chr3,169484709,169487683
ACVR1,-,chr2,158592958,158732374
ACVR1B,+,chr12,52345451,52390862
ACVR1C,-,chr2,158383279,158485517
ACVR2A,+,chr2,148602086,148688393
ACVR2B,+,chr3,38495342,38534633
ACVR2B-AS1,-,chr3,38492518,38496311
ACVRL1,+,chr12,52300692,52317145
ACY1,+,chr3,52009066,52023213
ACY3,-,chr11,67410026,67418130
ACYP1,-,chr14,75519924,75536186
ACYP2,+,chr2,54197975,54532437
ADA,-,chr20,43248163,43280874
ADAD1,+,chr4,123300121,123350957
ADAD1P2,+,chr18,47590165,47590810
ADAD2,+,chr16,84224744,84230774
ADAL,+,chr15,43622872,43646096
ADAM10,-,chr15,58887403,59042177
ADAM11,+,chr17,42836399,42859214
ADAM12,-,chr10,127700950,128077024
ADAM15,+,chr1,155023042,155035252
ADAM17,-,chr2,9628615,9695921
ADAM18,+,chr8,39442008,39587583
ADAM19,-,chr5,156822542,157002783
ADAM1A,+,chr12,112337067,112340042
ADAM1B,+,chr12,112364822,112366821
ADAM2,-,chr8,39601254,39695808
ADAM20,-,chr14,70989075,71001732
ADAM20P1,-,chr14,70935598,70950473
ADAM20P2,+,chr4,176496019,176497291
ADAM20P3,-,chr4,188667248,188669353
ADAM21,+,chr14,70918874,70926622
ADAM21P1,-,chr14,70712208,70714518
ADAM22,+,chr7,87563458,87832204
ADAM23,+,chr2,207308263,207485851
ADAM24P,+,chr8,17327027,17329127
ADAM28,+,chr8,24151553,24216531
ADAM29,+,chr4,175750819,175899331
ADAM30,-,chr1,120436156,120439118
ADAM32,+,chr8,38964509,39142430
ADAM33,-,chr20,3648612,3662893
ADAM3A,-,chr8,39308564,39380371
ADAM3B,-,chr16,49551673,49552512
ADAM5,+,chr8,39172110,39274897
ADAM6,-,chr14,106435819,106438358
ADAM7,+,chr8,24298443,24384483
ADAM8,-,chr10,135075907,135090372
ADAM9,+,chr8,38854388,38962663
ADAMDEC1,+,chr8,24241798,24263526
ADAMTS1,-,chr21,28208066,28217728
ADAMTS10,-,chr19,8645126,8675620
ADAMTS12,-,chr5,33523640,33892297
ADAMTS13,+,chr9,136279478,136324508
ADAMTS14,+,chr10,72432559,72522197
ADAMTS15,+,chr11,130318869,130346532
ADAMTS16,+,chr5,5140443,5320417
ADAMTS17,-,chr15,100511794,100882210
ADAMTS18,-,chr16,77281710,77469011
ADAMTS19,+,chr5,128795958,129074376
ADAMTS19-AS1,-,chr5,128795252,128796382
ADAMTS2,-,chr5,178537852,178772431
ADAMTS20,-,chr12,43747669,43945724
ADAMTS3,-,chr4,73146686,73434516
ADAMTS4,-,chr1,161154098,161168846
ADAMTS5,-,chr21,28290231,28338832
ADAMTS6,-,chr5,64444563,64777747
ADAMTS7,-,chr15,79051545,79103773
ADAMTS7P1,+,chr15,82590891,82626963
ADAMTS7P2,+,chr15,82888224,82924290
ADAMTS7P3,+,chr15,78268384,78285399
ADAMTS7P4,-,chr15,85798600,85873565
ADAMTS8,-,chr11,130274820,130298888
ADAMTS9,-,chr3,64501333,64673676
ADAMTS9-AS1,+,chr3,64547014,64573878
ADAMTS9-AS2,+,chr3,64670585,64997143
ADAMTSL1,+,chr9,18473892,18910948
ADAMTSL2,+,chr9,136397286,136440641
ADAMTSL3,+,chr15,84322838,84708594
ADAMTSL4,+,chr1,150521884,150533413
ADAMTSL4-AS1,-,chr1,150533480,150533969
ADAMTSL5,-,chr19,1505017,1513603
ADAP1,-,chr7,937540,995043
ADAP2,+,chr17,29233362,29286340
ADAR,-,chr1,154554538,154600475
ADARB1,+,chr21,46493768,46646478
ADARB2,-,chr10,1228073,1779670
ADARB2-AS1,+,chr10,1568832,1599179
ADAT1,-,chr16,75630879,75657198
ADAT2,-,chr6,143743969,143771810
ADAT3,+,chr19,1905377,1913444
ADC,+,chr1,33546705,33586131
ADCK1,+,chr14,78266426,78401355
ADCK2,+,chr7,140372953,140396061
ADCK3,+,chr1,227085237,227175246
ADCK4,-,chr19,41197434,41224112
ADCK5,+,chr8,145596790,145618457
ADCY1,+,chr7,45613739,45762715
ADCY10,-,chr1,167778625,167883453
ADCY10P1,+,chr6,41068761,41108571
ADCY2,+,chr5,7396321,7830194
ADCY3,-,chr2,25042038,25142708
ADCY4,-,chr14,24787555,24804299
ADCY5,-,chr3,123001143,123168605
ADCY6,-,chr12,49159975,49182820
ADCY7,+,chr16,50280048,50352046
ADCY8,-,chr8,131792547,132054672
ADCY9,-,chr16,4003388,4166186
ADCYAP1,+,chr18,904944,912173
ADCYAP1R1,+,chr7,31092076,31151089
ADD1,+,chr4,2845584,2931803
ADD2,-,chr2,70834750,70995357
ADD3,+,chr10,111756126,111895323
ADGB,+,chr6,146920101,147136598
ADH1A,-,chr4,100197524,100212185
ADH1B,-,chr4,100226121,100242558
ADH1C,-,chr4,100257649,100274184
ADH4,-,chr4,100044808,100078949
ADH5,-,chr4,99992132,100009952
ADH5P2,+,chr1,79986765,79987888
ADH5P3,+,chr1,240333455,240334591
ADH5P4,-,chr6,66546823,66547947
ADH6,-,chr4,100123795,100140694
ADH7,-,chr4,100333418,100356894
ADHFE1,+,chr8,67342420,67383836
ADI1,-,chr2,3501132,3523507
ADIG,+,chr20,37209838,37217106
ADIPOQ,+,chr3,186560463,186576252
ADIPOQ-AS1,-,chr3,186569675,186573912
ADIPOR1,-,chr1,202909951,202927700
ADIPOR1P1,+,chr10,22451921,22454723
ADIPOR1P2,+,chr14,95100042,95100861
ADIPOR2,+,chr12,1797740,1897844
ADIRF,+,chr10,88727949,88743691
ADIRF-AS1,-,chr10,88725102,88731068
ADK,+,chr10,75910960,76469061
ADM,+,chr11,10326227,10328944
ADM2,+,chr22,50919985,50924869
ADM5,+,chr19,50191921,50193832
ADNP,-,chr20,49505585,49547958
ADNP2,+,chr18,77866915,77905406
ADO,+,chr10,64564516,64568238
ADORA1,+,chr1,203059782,203136533
ADORA2A,+,chr22,24813847,24838328
ADORA2A-AS1,-,chr22,24825178,24891042
ADORA2B,+,chr17,15848231,15879060
ADORA3,-,chr1,112025970,112106584
ADPGK,-,chr15,73043710,73078187
ADPGK-AS1,+,chr15,73075176,73090540
ADPRH,+,chr3,119298115,119308792
ADPRHL1,-,chr13,114076260,114107839
ADPRHL2,+,chr1,36554476,36559533
ADPRM,+,chr17,10600911,10614550
ADRA1A,-,chr8,26605667,26724790
ADRA1B,+,chr5,159343790,159399551
ADRA1D,-,chr20,4201329,4229721
ADRA2A,+,chr10,112836790,112840658
ADRA2B,-,chr2,96778707,96781984
ADRA2C,+,chr4,3768075,3770251
ADRB1,+,chr10,115803806,115806667
ADRB2,+,chr5,148206156,148208196
ADRB3,-,chr8,37820516,37824483
ADRBK1,+,chr11,67033881,67054027
ADRBK2,+,chr22,25960816,26125261
ADRM1,+,chr20,60877149,60883918
ADSL,+,chr22,40742507,40786467
ADSS,-,chr1,244571796,244615436
ADSSL1,+,chr14,105190523,105213662
ADTRP,-,chr6,11712287,11807279
AEBP1,+,chr7,44143960,44154161
AEBP2,+,chr12,19556979,19873735
AEN,+,chr15,89164527,89175513
AES,-,chr19,3052908,3063105
AFAP1,-,chr4,7760441,7941653
AFAP1-AS1,+,chr4,7755817,7780655
AFAP1L1,+,chr5,148651434,148721365
AFAP1L2,-,chr10,116054583,116164515
AFF1,+,chr4,87856154,88062206
AFF2,+,chrX,147582139,148082193
AFF2-IT1,+,chrX,147628399,147628918
AFF3,-,chr2,100162323,100759201
AFF4,-,chr5,132211071,132299326
AFG3L1P,+,chr16,90038994,90068569
AFG3L2,-,chr18,12328943,12377313
AFG3L2P1,-,chr8,43125341,43127105
AFM,+,chr4,74347400,74369691
AFMID,+,chr17,76183398,76203782
AFP,+,chr4,74296855,74321891
AFTPH,+,chr2,64751465,64820139
AGA,-,chr4,178351924,178363657
AGAP1,+,chr2,236402733,237040444
AGAP1-IT1,+,chr2,236414395,236416210
AGAP10,-,chr10,47191844,47239738
AGAP11,+,chr10,88752163,88769960
AGAP2,-,chr12,58118980,58135940
AGAP2-AS1,+,chr12,58120054,58122139
AGAP3,+,chr7,150782918,150841523
AGAP4,-,chr10,46321042,46349323
AGAP5,-,chr10,75434033,75457639
AGAP6,+,chr10,51748078,51770259
AGAP7,-,chr10,51464162,51486327
AGAP8,-,chr10,51224681,51371321
AGAP9,+,chr10,48189612,48237508
AGBL1,+,chr15,86685227,87572283
AGBL1-AS1,-,chr15,86838880,86860404
AGBL2,-,chr11,47681143,47736941
AGBL3,+,chr7,134671259,134832715
AGBL4,-,chr1,48998527,50489585
AGBL4-IT1,-,chr1,49839873,49937757
AGBL5,+,chr2,27265232,27293490
AGBL5-AS1,-,chr2,27272551,27273132
AGBL5-IT1,+,chr2,27283906,27284683
AGER,-,chr6,32148745,32152101
AGFG1,+,chr2,228336868,228425930
AGFG2,+,chr7,100136834,100165842
AGGF1,+,chr5,76325076,76361059
AGGF1P1,+,chr4,190962497,190964569
AGGF1P2,+,chr10,135455590,135456398
AGGF1P3,-,chr3,75702712,75703924
AGGF1P4,-,chr16,34623574,34624374
AGK,+,chr7,141250989,141355044
AGKP1,+,chrY,16750976,16752238
AGL,+,chr1,100315640,100389579
AGMAT,-,chr1,15898848,15911605
AGMO,-,chr7,15239943,15601640
AGO1,+,chr1,36335409,36395211
AGO2,-,chr8,141541264,141645718
AGO3,+,chr1,36396319,36538101
AGO4,+,chr1,36273773,36323491
AGPAT1,-,chr6,32135989,32145873
AGPAT2,-,chr9,139567595,139581875
AGPAT3,+,chr21,45285067,45406417
AGPAT4,-,chr6,161551011,161695093
AGPAT5,+,chr8,6565878,6617184
AGPAT5P1,+,chrY,3161849,3162867
AGPAT6,+,chr8,41434706,41482520
AGPAT9,+,chr4,84457067,84527028
AGPS,+,chr2,178257372,178408564
AGR2,-,chr7,16831435,16873057
AGR3,-,chr7,16899029,16921611
AGRN,+,chr1,955503,991496
AGRP,-,chr16,67516474,67517716
AGT,-,chr1,230838269,230850043
AGTPBP1,-,chr9,88161455,88356944
AGTR1,+,chr3,148415571,148460795
AGTR2,+,chrX,115301975,115306225
AGTRAP,+,chr1,11796141,11814859
AGXT,+,chr2,241807896,241819919
AGXT2,-,chr5,34998206,35048198
AHCTF1,-,chr1,247002400,247095280
AHCTF1P1,-,chr2,162357396,162364216
AHCY,-,chr20,32868074,32899608
AHCYL1,+,chr1,110527308,110566357
AHCYL2,+,chr7,128864864,129070052
AHCYP1,+,chr10,47594379,47595651
AHCYP2,+,chr9,123482951,123484250
AHCYP3,-,chr2,105011460,105012738
AHCYP4,-,chr2,139659003,139660317
AHCYP5,-,chr2,196447518,196448755
AHCYP7,+,chr15,50709582,50710889
AHCYP8,-,chr1,248885294,248885502
AHDC1,-,chr1,27860546,27930942
AHI1,-,chr6,135604670,135818914
AHNAK,-,chr11,62201016,62323707
AHNAK2,-,chr14,105403581,105444694
AHR,+,chr7,17338246,17385776
AHRR,+,chr5,304291,438406
AHSA1,+,chr14,77924213,77935817
AHSA2,+,chr2,61404553,61418338
AHSG,+,chr3,186330712,186339107
AHSP,+,chr16,31539185,31540124
AICDA,-,chr12,8754762,8765467
AIDA,-,chr1,222841355,222886552
AIF1,+,chr6,31582961,31584798
AIF1L,+,chr9,133971863,133998539
AIFM1,-,chrX,129263337,129299861
AIFM1P1,+,chr10,19024674,19027560
AIFM2,-,chr10,71857979,71892690
AIFM3,+,chr22,21319396,21335649
AIG1,+,chr6,143381633,143661441
AIG1P1,+,chr5,39022513,39022660
AIM1,+,chr6,106959730,107018326
AIM1L,-,chr1,26648350,26680621
AIM2,-,chr1,159032274,159116886
AIMP1,+,chr4,107236701,107270383
AIMP1P1,+,chr20,14108046,14108982
AIMP1P2,-,chr1,172855087,172855398
AIMP2,+,chr7,6048876,6063465
AIP,+,chr11,67250512,67258574
AIPL1,-,chr17,6297013,6338519
AIRE,+,chr21,45705721,45718531
AIRN,-,chr6,160424323,160428696
AJAP1,+,chr1,4714792,4852594
AJUBA,-,chr14,23440383,23451851
AK1,-,chr9,130628759,130640022
AK2,-,chr1,33473585,33546597
AK2P2,-,chr2,32048482,32048886
AK3,-,chr9,4711155,4742043
AK3P2,-,chr8,144138477,144139233
AK3P3,+,chr7,23168797,23169460
AK3P4,+,chr5,114738077,114738659
AK3P5,+,chr10,33233409,33233927
AK4,+,chr1,65613232,65697828
AK4P1,+,chr17,29672539,29673205
AK4P2,-,chr5,54847713,54848382
AK4P3,-,chr12,31768702,31769373
AK4P4,-,chr9,5855781,5856426
AK4P5,-,chr6,80787446,80788079
AK4P6,+,chr4,151948242,151948769
AK5,+,chr1,77747736,78025651
AK7,+,chr14,96858448,96955764
AK8,-,chr9,135600965,135754164
AK9,-,chr6,109814059,110012420
AKAP1,+,chr17,55162453,55198710
AKAP10,-,chr17,19807615,19881656
AKAP11,+,chr13,42846289,42897396
AKAP12,+,chr6,151561134,151679692
AKAP13,+,chr15,85923802,86292586
AKAP14,+,chrX,119029800,119054679
AKAP17A,+,chrX,1710486,1721407
AKAP17BP,-,chrX,118383309,118391633
AKAP2,+,chr9,112542769,112934792
AKAP3,-,chr12,4724674,4758213
AKAP4,-,chrX,49955406,49965664
AKAP5,+,chr14,64932217,64941221
AKAP6,+,chr14,32798479,33300567
AKAP7,+,chr6,131456806,131604675
AKAP8,-,chr19,15464196,15490609
AKAP8L,-,chr19,15490859,15529952
AKAP9,+,chr7,91570181,91739987
AKIP1,+,chr11,8932686,8941631
AKIRIN1,+,chr1,39456895,39471731
AKIRIN2,-,chr6,88384790,88411927
AKNA,-,chr9,117096436,117156685
AKNAD1,-,chr1,109358520,109506106
AKR1A1,+,chr1,46016215,46035721
AKR1B1,-,chr7,134127102,134144036
AKR1B10,+,chr7,134212344,134226160
AKR1B10P1,+,chr10,69510042,69510983
AKR1B10P2,+,chr18,66123188,66124114
AKR1B15,+,chr7,134233888,134264627
AKR1B1P1,+,chr1,224762136,224763091
AKR1B1P2,+,chr3,74185110,74186043
AKR1B1P4,-,chr13,46261683,46262604
AKR1B1P6,+,chr18,8545633,8546815
AKR1B1P7,-,chr19,33851406,33852354
AKR1B1P8,+,chrX,115174736,115175671
AKR1C1,+,chr10,4934796,5025475
AKR1C2,-,chr10,5029967,5060223
AKR1C3,+,chr10,5077546,5149878
AKR1C4,+,chr10,5237425,5260912
AKR1C5P,-,chr10,5164279,5177418
AKR1C6P,-,chr10,4914093,4934167
AKR1C7P,-,chr10,5317136,5330433
AKR1CL1,-,chr10,5196335,5244449
AKR1D1,+,chr7,137687070,137802732
AKR1D1P1,+,chr1,167488773,167489823
AKR1E2,+,chr10,4828821,4890254
AKR7A2,-,chr1,19630459,19638640
AKR7A2P1,+,chr1,113466045,113466959
AKR7A3,-,chr1,19609052,19615744
AKR7L,-,chr1,19592476,19600688
AKT1,-,chr14,105235686,105262088
AKT1S1,-,chr19,50372295,50381716
AKT2,-,chr19,40736224,40791443
AKT3,-,chr1,243651535,244014381
AKT3-IT1,-,chr1,243956507,243957702
AKTIP,-,chr16,53524952,53538323
ALAD,-,chr9,116148597,116163613
ALAS1,+,chr3,52232102,52248343
ALAS2,-,chrX,55035488,55057497
ALB,+,chr4,74262831,74287129
ALCAM,+,chr3,105085753,105295744
ALDH16A1,+,chr19,49956426,49974305
ALDH18A1,-,chr10,97365696,97416463
ALDH1A1,-,chr9,75515578,75695358
ALDH1A2,-,chr15,58245622,58790065
ALDH1A3,+,chr15,101417919,101456831
ALDH1B1,+,chr9,38392661,38398658
ALDH1L1,-,chr3,125822412,125916837
ALDH1L1-AS1,+,chr3,125822483,125826912
ALDH1L1-AS2,+,chr3,125898908,125929012
ALDH1L2,-,chr12,105413568,105478355
ALDH2,+,chr12,112204691,112247782
ALDH3A1,-,chr17,19641297,19652256
ALDH3A2,+,chr17,19551449,19580911
ALDH3B1,+,chr11,67776048,67796744
ALDH3B2,-,chr11,67429633,67448671
ALDH4A1,-,chr1,19197926,19229275
ALDH5A1,+,chr6,24495080,24537435
